"campusafk","verdiepnr","lokaalnr"
ELL,-01,067
ELL,-01,068
ELL,-01,68A
ELL,-01,069
ELL,-01,071
ELL,-01,72A
ELL,-01,72B
ELL,-01,72C
ELL,-01,G01
ELL,-01,L02
ELL,-01,T05
ELL,00,001
ELL,00,002
ELL,00,003
ELL,00,004
ELL,00,005
ELL,00,006
ELL,00,007
ELL,00,008
ELL,00,009
ELL,00,010
ELL,00,011
ELL,00,012
ELL,00,013
ELL,00,014
ELL,00,015
ELL,00,016
ELL,00,017
ELL,00,018
ELL,00,040
ELL,00,042
ELL,00,043
ELL,00,044
ELL,00,045
ELL,00,046
ELL,00,047
ELL,00,048
ELL,00,050
ELL,00,051
ELL,00,52A
ELL,00,52B
ELL,00,053
ELL,00,054
ELL,00,055
ELL,00,056
ELL,00,057
ELL,00,060
ELL,00,60A
ELL,00,061
ELL,00,062
ELL,00,063
ELL,00,064
ELL,00,G01
ELL,00,G02
ELL,00,G03
ELL,00,T01
ELL,00,T02
ELL,00,T03
ELL,00,T04
ELL,00,T05
ELL,00,T06
ELL,00,T07
ELL,01,001
ELL,01,002
ELL,01,003
ELL,01,004
ELL,01,005
ELL,01,006
ELL,01,007
ELL,01,08/1
ELL,01,08/2
ELL,01,08/3
ELL,01,009
ELL,01,010
ELL,01,011
ELL,01,012
ELL,01,013
ELL,01,014
ELL,01,015
ELL,01,016
ELL,01,017
ELL,01,018
ELL,01,019
ELL,01,020
ELL,01,021
ELL,01,022
ELL,01,023
ELL,01,050
ELL,01,051
ELL,01,052
ELL,01,060
ELL,01,061
ELL,01,062
ELL,01,063
ELL,01,064
ELL,01,065
ELL,01,066
ELL,01,G01
ELL,01,G02
ELL,01,G03
ELL,01,G04
ELL,01,G05
ELL,01,L01
ELL,01,T01
ELL,01,T02
ELL,01,T03
ELL,01,T04
ELL,01,T06
ELL,01,T07
ELL,02,001
ELL,02,002
ELL,02,003
ELL,02,004
ELL,02,005
ELL,02,006
ELL,02,007
ELL,02,008
ELL,02,009
ELL,02,010
ELL,02,011
ELL,02,050
ELL,02,051
ELL,02,052
ELL,02,060
ELL,02,G01
ELL,02,L01
ELL,02,T01
ELL,02,T02
ELL,02,T03
ELL,02,T06
ELL,03,001
ELL,03,002
ELL,03,003
ELL,03,004
ELL,03,005
ELL,03,006
ELL,03,007
ELL,03,008
ELL,03,009
ELL,03,010
ELL,03,011
ELL,03,012
ELL,03,013
ELL,03,014
ELL,03,050
ELL,03,051
ELL,03,52A
ELL,03,52B
ELL,03,T01
ELL,03,T02
ELL,03,T03
ELL,04,001
ELL,04,002
ELL,04,003
ELL,04,004
ELL,04,005
ELL,04,006
ELL,04,007
ELL,04,008
ELL,04,009
ELL,04,010
ELL,04,011
ELL,04,012
ELL,04,013
ELL,04,014
ELL,04,017
ELL,04,018
ELL,04,019
ELL,04,020
ELL,04,021
ELL,04,022
ELL,04,023
ELL,04,024
ELL,04,025
ELL,04,026
ELL,04,027
ELL,04,028
ELL,04,50A
ELL,04,50B
ELL,04,50C
ELL,04,51A
ELL,04,51B
ELL,04,51C
ELL,04,052
ELL,04,060
ELL,04,061
ELL,04,G01
ELL,04,T01
ELL,04,T02
